season,match_id,fullName,overs,conceded,wickets,foursConceded,sixesConceded,opponentteam
2022,1304047,Umesh Yadav,24,20,2,1,1,CSK
2022,1304047,Shivam Mavi,24,35,0,3,2,CSK
2022,1304047,Varun Chakravarthy,24,23,1,1,1,CSK
2022,1304047,Sunil Narine,24,15,0,0,0,CSK
2022,1304047,Andre Russell,24,38,1,5,1,CSK
2022,1304047,Tushar Deshpande,18,23,0,4,0,KKR
2022,1304047,Adam Milne,13,19,0,2,1,KKR
2022,1304047,Mitchell Santner,24,31,1,1,1,KKR
2022,1304047,Dwayne Bravo,24,20,3,2,0,KKR
2022,1304047,Shivam Dube,6,11,0,2,0,KKR
2022,1304047,Ravindra Jadeja,24,25,0,1,1,KKR
2022,1304048,Shardul Thakur,24,47,0,3,4,MI
2022,1304048,Khaleel Ahmed,24,27,2,5,0,MI
2022,1304048,Axar Patel,24,40,0,4,1,MI
2022,1304048,Kamlesh Nagarkoti,12,29,0,5,1,MI
2022,1304048,Kuldeep Yadav,24,18,3,0,0,MI
2022,1304048,Lalit Yadav,12,15,0,1,0,MI
2022,1304048,Daniel Sams,24,57,0,6,3,DC
2022,1304048,Jasprit Bumrah,19,43,0,7,1,DC
2022,1304048,Basil Thampi,24,35,3,2,2,DC
2022,1304048,Murugan Ashwin,24,14,2,1,0,DC
2022,1304048,Tymal Mills,18,26,1,2,1,DC
2022,1304049,Sandeep Sharma,24,37,0,4,2,RCB
2022,1304049,Arshdeep Singh,24,31,1,0,2,RCB
2022,1304049,Odean Smith,24,52,0,5,4,RCB
2022,1304049,Rahul Chahar,24,22,1,0,0,RCB
2022,1304049,Harpreet Brar,18,38,0,0,4,RCB
2022,1304049,Liam Livingstone,6,14,0,0,1,RCB
2022,1304049,David Willey,18,28,0,3,1,PBKS
2022,1304049,Mohammed Siraj,24,59,2,3,4,PBKS
2022,1304049,Shahbaz Ahmed,6,6,0,1,0,PBKS
2022,1304049,Akash Deep,18,38,1,2,3,PBKS
2022,1304049,Wanindu Hasaranga de Silva,24,40,1,1,4,PBKS
2022,1304049,Harshal Patel,24,36,1,1,2,PBKS
2022,1304050,Mohammed Shami,24,25,3,4,0,LSG
2022,1304050,Varun Aaron,24,45,2,6,1,LSG
2022,1304050,Lockie Ferguson,24,24,0,1,1,LSG
2022,1304050,Hardik Pandya,24,37,0,6,1,LSG
2022,1304050,Rashid Khan,24,27,1,0,2,LSG
2022,1304050,Dushmantha Chameera,18,22,2,4,0,GT
2022,1304050,Avesh Khan,20,33,1,5,1,GT
2022,1304050,Mohsin Khan,12,18,0,3,0,GT
2022,1304050,Ravi Bishnoi,24,34,0,3,2,GT
2022,1304050,Krunal Pandya,24,17,1,1,0,GT
2022,1304050,Deepak Hooda,18,31,1,2,2,GT
2022,1304051,Bhuvneshwar Kumar,24,29,1,2,2,RR
2022,1304051,Romario Shepherd,24,33,1,3,2,RR
2022,1304051,Umran Malik,24,39,2,4,2,RR
2022,1304051,Washington Sundar,18,47,0,1,5,RR
2022,1304051,T Natarajan,24,43,2,5,2,RR
2022,1304051,Abhishek Sharma,6,15,0,1,1,RR
2022,1304051,Trent Boult,24,23,2,2,1,SRH
2022,1304051,Prasidh Krishna,24,16,2,1,1,SRH
2022,1304051,Nathan Coulter-Nile,18,48,0,5,3,SRH
2022,1304051,Ravichandran Ashwin,24,21,0,1,0,SRH
2022,1304051,Yuzvendra Chahal,24,22,3,1,0,SRH
2022,1304051,Riyan Parag,6,14,0,1,1,SRH
2022,1304052,David Willey,12,7,0,0,0,KKR
2022,1304052,Mohammed Siraj,24,25,1,4,0,KKR
2022,1304052,Akash Deep,21,45,3,5,3,KKR
2022,1304052,Wanindu Hasaranga de Silva,24,20,4,0,2,KKR
2022,1304052,Harshal Patel,24,11,2,2,0,KKR
2022,1304052,Shahbaz Ahmed,6,16,0,0,2,KKR
2022,1304052,Umesh Yadav,24,16,2,2,0,RCB
2022,1304052,Tim Southee,24,20,3,2,0,RCB
2022,1304052,Andre Russell,13,36,0,2,3,RCB
2022,1304052,Sunil Narine,24,12,1,0,0,RCB
2022,1304052,Varun Chakravarthy,24,33,1,3,2,RCB
2022,1304052,Venkatesh Iyer,6,10,0,2,0,RCB
2022,1304053,Avesh Khan,24,38,2,5,2,CSK
2022,1304053,Dushmantha Chameera,24,49,0,6,2,CSK
2022,1304053,Andrew Tye,24,40,2,6,1,CSK
2022,1304053,Krunal Pandya,18,36,0,3,2,CSK
2022,1304053,Ravi Bishnoi,24,24,2,3,0,CSK
2022,1304053,Deepak Hooda,6,12,0,1,1,CSK
2022,1304053,Mukesh Choudhary,19,39,0,4,2,LSG
2022,1304053,Tushar Deshpande,24,40,1,6,1,LSG
2022,1304053,Dwayne Bravo,24,35,1,2,1,LSG
2022,1304053,Ravindra Jadeja,12,21,0,2,1,LSG
2022,1304053,Moeen Ali,6,14,0,1,1,LSG
2022,1304053,Dwaine Pretorius,24,31,2,1,1,LSG
2022,1304053,Shivam Dube,6,25,0,2,2,LSG
2022,1304054,Umesh Yadav,24,23,4,2,1,PBKS
2022,1304054,Tim Southee,24,36,2,5,2,PBKS
2022,1304054,Shivam Mavi,12,39,1,3,4,PBKS
2022,1304054,Varun Chakravarthy,24,14,0,0,0,PBKS
2022,1304054,Sunil Narine,24,23,1,1,1,PBKS
2022,1304054,Andre Russell,1,0,1,0,0,PBKS
2022,1304054,Arshdeep Singh,18,32,0,5,1,KKR
2022,1304054,Kagiso Rabada,18,23,1,3,0,KKR
2022,1304054,Odean Smith,12,39,1,3,4,KKR
2022,1304054,Rahul Chahar,24,13,2,0,0,KKR
2022,1304054,Harpreet Brar,12,20,0,0,2,KKR
2022,1304054,Liam Livingstone,1,13,0,0,2,KKR
2022,1304055,Jasprit Bumrah,24,17,3,3,0,RR
2022,1304055,Daniel Sams,24,32,0,2,2,RR
2022,1304055,Basil Thampi,6,26,0,2,3,RR
2022,1304055,Murugan Ashwin,18,32,0,2,2,RR
2022,1304055,Tymal Mills,24,35,3,3,2,RR
2022,1304055,Kieron Pollard,24,46,1,5,2,RR
2022,1304055,Trent Boult,24,29,1,3,1,MI
2022,1304055,Prasidh Krishna,24,37,1,4,1,MI
2022,1304055,Navdeep Saini,18,36,2,4,2,MI
2022,1304055,Ravichandran Ashwin,24,30,1,0,2,MI
2022,1304055,Yuzvendra Chahal,24,26,2,2,1,MI
2022,1304055,Riyan Parag,6,11,0,0,1,MI
2022,1304056,Mustafizur Rahman,24,23,3,1,0,GT
2022,1304056,Shardul Thakur,24,42,0,4,1,GT
2022,1304056,Khaleel Ahmed,24,34,2,5,0,GT
2022,1304056,Axar Patel,24,37,0,1,3,GT
2022,1304056,Kuldeep Yadav,24,32,1,3,1,GT
2022,1304056,Mohammed Shami,24,30,2,5,0,DC
2022,1304056,Hardik Pandya,24,22,1,2,0,DC
2022,1304056,Lockie Ferguson,24,28,4,5,0,DC
2022,1304056,Rashid Khan,24,30,1,1,1,DC
2022,1304056,Varun Aaron,6,7,0,1,0,DC
2022,1304056,Vijay Shankar,6,14,0,3,0,DC
2022,1304056,Rahul Tewatia,12,22,0,1,2,DC
2022,1304057,Mukesh Choudhary,24,52,1,5,4,PBKS
2022,1304057,Chris Jordan,24,23,2,0,1,PBKS
2022,1304057,Dwayne Bravo,18,32,1,3,2,PBKS
2022,1304057,Ravindra Jadeja,24,34,1,2,2,PBKS
2022,1304057,Dwaine Pretorius,24,30,2,2,1,PBKS
2022,1304057,Moeen Ali,6,8,0,0,1,PBKS
2022,1304057,Vaibhav Arora,24,21,2,3,0,CSK
2022,1304057,Kagiso Rabada,18,28,1,2,2,CSK
2022,1304057,Arshdeep Singh,12,13,1,2,0,CSK
2022,1304057,Odean Smith,12,14,1,1,1,CSK
2022,1304057,Rahul Chahar,24,25,3,1,1,CSK
2022,1304057,Liam Livingstone,18,25,2,2,1,CSK
2022,1304058,Bhuvneshwar Kumar,24,25,0,1,0,LSG
2022,1304058,Washington Sundar,24,28,2,3,1,LSG
2022,1304058,Romario Shepherd,24,42,2,3,3,LSG
2022,1304058,Umran Malik,18,39,0,5,2,LSG
2022,1304058,Abdul Samad,6,8,0,1,0,LSG
2022,1304058,T Natarajan,24,26,2,1,0,LSG
2022,1304058,Jason Holder,24,34,3,3,1,SRH
2022,1304058,Krunal Pandya,24,27,2,0,2,SRH
2022,1304058,Avesh Khan,24,24,4,2,1,SRH
2022,1304058,Andrew Tye,24,39,0,5,1,SRH
2022,1304058,Ravi Bishnoi,24,29,0,2,0,SRH
2022,1304059,Mohammed Siraj,24,43,0,1,4,RR
2022,1304059,David Willey,24,29,1,2,1,RR
2022,1304059,Akash Deep,24,44,0,0,4,RR
2022,1304059,Wanindu Hasaranga de Silva,24,32,1,2,2,RR
2022,1304059,Harshal Patel,24,18,1,1,0,RR
2022,1304059,Trent Boult,24,34,2,4,1,RCB
2022,1304059,Prasidh Krishna,24,40,0,6,1,RCB
2022,1304059,Ravichandran Ashwin,24,39,0,5,1,RCB
2022,1304059,Yuzvendra Chahal,24,15,2,1,0,RCB
2022,1304059,Navdeep Saini,18,36,1,4,1,RCB
2022,1304059,Yashasvi Jaiswal,0,6,0,0,1,RCB
2022,1304060,Umesh Yadav,24,25,1,2,1,MI
2022,1304060,Rasikh Salam,18,18,0,2,0,MI
2022,1304060,Pat Cummins,24,49,2,2,5,MI
2022,1304060,Sunil Narine,24,26,0,1,1,MI
2022,1304060,Varun Chakravarthy,24,32,1,2,2,MI
2022,1304060,Andre Russell,6,9,0,2,0,MI
2022,1304060,Basil Thampi,18,15,0,1,1,KKR
2022,1304060,Daniel Sams,18,50,1,4,4,KKR
2022,1304060,Jasprit Bumrah,18,26,0,3,1,KKR
2022,1304060,Tymal Mills,18,38,2,4,2,KKR
2022,1304060,Tilak Varma,6,6,0,1,0,KKR
2022,1304060,Murugan Ashwin,18,25,2,0,3,KKR
2022,1304061,Jason Holder,24,30,0,1,1,DC
2022,1304061,Krishnappa Gowtham,24,23,1,3,1,DC
2022,1304061,Avesh Khan,18,32,0,6,0,DC
2022,1304061,Ravi Bishnoi,24,22,2,3,0,DC
2022,1304061,Andrew Tye,18,28,0,2,2,DC
2022,1304061,Krunal Pandya,12,12,0,0,0,DC
2022,1304061,Mustafizur Rahman,24,26,0,0,1,LSG
2022,1304061,Lalit Yadav,24,21,1,1,0,LSG
2022,1304061,Shardul Thakur,20,29,1,3,1,LSG
2022,1304061,Anrich Nortje,13,35,0,3,2,LSG
2022,1304061,Axar Patel,12,11,0,1,0,LSG
2022,1304061,Kuldeep Yadav,20,31,2,3,1,LSG
2022,1304062,Mohammed Shami,24,36,1,4,2,PBKS
2022,1304062,Hardik Pandya,24,36,1,4,1,PBKS
2022,1304062,Lockie Ferguson,24,33,1,5,0,PBKS
2022,1304062,Rashid Khan,24,22,3,0,1,PBKS
2022,1304062,Darshan Nalkande,18,37,2,4,2,PBKS
2022,1304062,Rahul Tewatia,6,24,0,1,3,PBKS
2022,1304062,Vaibhav Arora,24,34,0,5,0,GT
2022,1304062,Arshdeep Singh,24,31,0,5,0,GT
2022,1304062,Kagiso Rabada,24,35,2,5,0,GT
2022,1304062,Rahul Chahar,24,41,1,3,1,GT
2022,1304062,Odean Smith,18,35,0,2,3,GT
2022,1304062,Liam Livingstone,6,12,0,2,0,GT
2022,1304063,Bhuvneshwar Kumar,24,36,1,3,0,CSK
2022,1304063,Marco Jansen,24,30,1,4,0,CSK
2022,1304063,Washington Sundar,24,21,2,1,0,CSK
2022,1304063,T Natarajan,24,30,2,2,1,CSK
2022,1304063,Umran Malik,18,29,0,4,1,CSK
2022,1304063,Aiden Markram,6,8,1,0,1,CSK
2022,1304063,Mukesh Choudhary,24,30,1,2,2,SRH
2022,1304063,Maheesh Theekshana,24,31,0,3,1,SRH
2022,1304063,Chris Jordan,18,34,0,3,2,SRH
2022,1304063,Ravindra Jadeja,18,21,0,1,0,SRH
2022,1304063,Moeen Ali,6,10,0,0,1,SRH
2022,1304063,Dwayne Bravo,14,29,1,4,0,SRH
2022,1304064,David Willey,12,8,0,1,0,MI
2022,1304064,Mohammed Siraj,24,51,0,3,4,MI
2022,1304064,Wanindu Hasaranga de Silva,24,28,2,3,1,MI
2022,1304064,Akash Deep,24,20,1,3,0,MI
2022,1304064,Harshal Patel,24,23,2,2,1,MI
2022,1304064,Shahbaz Ahmed,12,19,0,2,1,MI
2022,1304064,Basil Thampi,24,29,0,3,1,RCB
2022,1304064,Jaydev Unadkat,24,30,1,0,3,RCB
2022,1304064,Jasprit Bumrah,24,31,0,1,1,RCB
2022,1304064,Murugan Ashwin,18,26,0,3,1,RCB
2022,1304064,Kieron Pollard,18,24,0,1,1,RCB
2022,1304064,Dewald Brevis,1,8,1,2,0,RCB
2022,1304065,Umesh Yadav,24,48,1,5,3,DC
