season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,opponentteam
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,RD Gaikwad,Ruturaj Gaikwad,0,4,5.0,0,0,0.0,0,0,"{'wickets': 1, 'runs': 2}",0.3,c Rana b Yadav,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,DP Conway,Devon Conway,3,8,25.0,0,0,37.5,0,0,"{'wickets': 2, 'runs': 28}",4.1,c SS Iyer b Yadav,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,RV Uthappa,Robin Uthappa,28,21,37.0,2,2,133.33,0,0,"{'wickets': 3, 'runs': 49}",7.5,st &dagger;Jackson b Varun,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,AT Rayudu,Ambati Rayudu,15,17,22.0,1,1,88.23,0,0,"{'wickets': 4, 'runs': 52}",8.4,run out (SS Iyer/Narine),KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,RA Jadeja,Ravindra Jadeja,26,28,63.0,0,1,92.85,1,1,{},11.0,not out,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,S Dube,Shivam Dube,3,6,11.0,0,0,50.0,0,0,"{'wickets': 5, 'runs': 61}",10.5,c Narine b Russell,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,CSK,1,MS Dhoni,MS Dhoni,50,38,47.0,7,1,131.57,0,1,{},11.0,not out,KKR
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,KKR,2,AM Rahane,Ajinkya Rahane,44,34,56.0,6,1,129.41,0,0,"{'wickets': 3, 'runs': 87}",11.4,c Jadeja b Santner,CSK
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,KKR,2,VR Iyer,Venkatesh Iyer,16,16,31.0,2,0,100.0,0,0,"{'wickets': 1, 'runs': 43}",6.2,c &dagger;Dhoni b Bravo,CSK
2022,1304047,CSK v KKR,CSK,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,KKR,2,N Rana,Nitish Rana,21,17,19.0,2,1,123.52,0,0,"{'wickets': 2, 'runs': 76}",9.6,c Rayudu b Bravo,CSK
